Address,Quadrant,Profit_Factor,Average_Leverage,Total_PnL,Win_Rate,Liq_Loss_Ratio,Total_Account_Value,Avg_Duration_Min,Orders_30d,Orders_Per_Day,Duration_Ratio,Liq_Loss_Ratio_Detail,Top_Coins_Vol_Ratio,Liquidations_60d,Avg_PV
0x2199d9255793f70af3dcb3588b5151af0acb997f,Q4: 高危噪音区,0.4158,27.69,-19358.22,28.79%,0.8868,103.21,2406.74,24,0.8,3.5335,0.8868,0.9744,7,28708.95
0xa0e0c979703217c122d462f62743652d1369439c,Q4: 高危噪音区,0.4445,19.38,-38010.76,27.66%,0.5536,99.0,588.66,22,0.73,0.3691,0.5536,0.8,3,134232.66
0xeca6bd0aa6758d7a8243145385f98653100f0430,Q4: 高危噪音区,0.4966,15.83,-19197.48,29.73%,1.3189,0.13,1825.35,22,0.73,0.5915,1.3189,0.9372,17,33232.8
0xc9cb7512b852455fda105b8725d64ca1ad6d6e94,Q4: 高危噪音区,0.3262,17.0,-22534.12,23.53%,0.5069,521.73,2683.46,21,0.7,0.6195,0.5069,1.0,2,33201.88
0x84fb4d0598650bd9ee13a8cab555baa71dedeb4c,Q4: 高危噪音区,0.4835,39.26,-16698.98,15.46%,0.4114,12.12,2339.45,17,0.57,0.2185,0.4114,0.9994,7,60547.17
0x21351ef1fbbfddd971ace8a3b7eb67f5cc186c73,Q4: 高危噪音区,0.4485,40.0,-202805.76,27.47%,0.0196,1953.14,99.17,16,0.53,0.3571,0.0196,0.9725,4,1239051.69
0xcdc0edf51787353305e49d05ade38fc51060a0c6,Q4: 高危噪音区,0.4373,24.38,-30921.83,19.43%,0.5905,0.06,1909.29,16,0.53,0.6864,0.5905,0.9966,5,47406.53
0x400d7004932cbbf9cecdf4adc879f41d6d21446d,Q4: 高危噪音区,0.4069,15.0,-13567.26,29.38%,0.0418,726.73,3024.07,14,0.47,1.2466,0.0418,0.9117,6,15878.12
0x5dd6780b815aa7b393fdb18ccaf0054941d6c767,Q4: 高危噪音区,0.3098,16.72,-18541.07,14.29%,0.0795,6113.97,1672.37,12,0.4,3.4308,0.0795,0.9882,0,137742.03
0xc702c52d079d35799c4f3b8d84e3f165da522731,Q4: 高危噪音区,0.4905,24.0,-16807.37,16.67%,0.0931,3635.64,26002.4,10,0.33,0.2502,0.0931,1.0,2,34040.36
0xcfbe42ea612106661f495f3935dec6000cadbc8c,Q4: 高危噪音区,0.314,15.0,-56726.88,16.67%,1.1015,8511.05,366.22,10,0.33,0.1142,1.1015,1.0,0,97653.56
0x7a1a977805bf728d24acbef200fb1e68a6022f9d,Q4: 高危噪音区,0.3914,11.5,-23748.09,26.19%,0.3464,338.21,4986.51,8,0.27,0.421,0.3464,1.0,1,15910.93
0x7e916054586171bb9c8f3b728a9d02cda4ccfb9d,Q4: 高危噪音区,0.4198,16.0,-12920.82,15.38%,0.7688,455.72,17056.17,7,0.23,0.2196,0.7688,0.8,3,18396.18
0x395ddaf15c23eb3928201c07c304c5089d97c0b8,Q4: 高危噪音区,0.4132,40.0,-23284.23,25.00%,1.0,11081.31,25391.92,3,0.03,2.1588,1.0,1.0,1,42961.52
